Wall time,Step,Value
1525181656.6365,100,0.19233042001724243
1525181756.416828,200,0.2601345479488373
1525181855.454302,300,0.281728595495224
1525181955.808576,400,0.28678080439567566
1525182054.806758,500,0.2960246801376343
1525182153.841124,600,0.2970064878463745
1525182253.160602,700,0.2973993420600891
1525182352.201634,800,0.2963811159133911
1525182452.405492,900,0.29652339220046997
1525182554.589594,1000,0.2946515679359436
1525182657.881617,1100,0.293196439743042
1525182757.487858,1200,0.29327017068862915
1525182856.995448,1300,0.2912351191043854
1525182956.077434,1400,0.2908460199832916
1525183056.841188,1500,0.2935274839401245
1525183157.213857,1600,0.2920514643192291
1525183269.016181,1700,0.28640925884246826
1525183368.184105,1800,0.2988215982913971
1525183467.827712,1900,0.29256004095077515
1525183566.855546,2000,0.2887580990791321
1525183665.728386,2100,0.2920006811618805
1525183765.257971,2200,0.292840838432312
1525183864.371454,2300,0.29237809777259827
1525183964.007752,2400,0.282380610704422
1525184063.400135,2500,0.28590285778045654
1525184163.224878,2600,0.2931092381477356
1525184262.278188,2700,0.2831330895423889
1525184362.340166,2800,0.2850598394870758
1525184461.483461,2900,0.2865365743637085
1525184561.815918,3000,0.290765643119812
1525184661.797581,3100,0.28282108902931213
1525184760.68108,3200,0.28280770778656006
1525184860.235787,3300,0.2910943627357483
1525184960.462397,3400,0.27751049399375916
1525185061.014272,3500,0.2857620418071747
1525185162.605055,3600,0.2824520468711853
1525185263.387411,3700,0.2791392207145691
1525185364.187674,3800,0.27656763792037964
1525185525.348315,3900,0.28042420744895935
1525185688.250003,4000,0.27742841839790344
1525185847.321402,4100,0.2794326841831207
1525186007.625588,4200,0.27895811200141907
1525186174.719827,4300,0.27782097458839417
1525186336.83236,4400,0.27623721957206726
1525186444.342599,4500,0.2804683446884155
1525186545.547715,4600,0.2749384045600891
