Wall time,Step,Value
1525188027.225054,100,0.24090108275413513
1525188127.996663,200,0.10332771390676498
1525188227.233824,300,0.3546113669872284
1525188327.439105,400,0.9309430122375488
1525188427.689304,500,1.102920413017273
1525188528.347723,600,1.173730492591858
1525188629.598218,700,1.1844841241836548
1525188730.896625,800,1.2814249992370605
1525188832.329493,900,1.3295269012451172
1525188933.979944,1000,1.3508217334747314
1525189035.584702,1100,1.3628541231155396
1525189136.761595,1200,1.3697794675827026
