Wall time,Step,Value
1525188027.225054,100,1.7988184690475464
1525188127.996663,200,3.807610034942627
1525188227.233824,300,3.367841958999634
1525188327.439105,400,2.073026418685913
1525188427.689304,500,1.4256430864334106
1525188528.347723,600,1.2009607553482056
1525188629.598218,700,1.1467347145080566
1525188730.896625,800,0.9956632852554321
1525188832.329493,900,0.8685874938964844
1525188933.979944,1000,0.8063592910766602
1525189035.584702,1100,0.7725178003311157
1525189136.761595,1200,0.756510853767395
