Wall time,Step,Value
1525188027.225054,100,0.14081966876983643
1525188127.996663,200,0.07702524214982986
1525188227.233824,300,0.0443912073969841
1525188327.439105,400,0.028758740052580833
1525188427.689304,500,0.021275706589221954
1525188528.347723,600,0.017579276114702225
1525188629.598218,700,0.01488607656210661
1525188730.896625,800,0.01081020012497902
1525188832.329493,900,0.007980592548847198
1525188933.979944,1000,0.0064376648515462875
1525189035.584702,1100,0.005422180984169245
1525189136.761595,1200,0.004977705888450146
