Wall time,Step,Value
1534944654.740291,100,1.4553931951522827
1534950144.925419,200,1.3921818733215332
1534955648.734587,300,1.2978039979934692
1534961075.07772,400,1.26266610622406
1534966496.892846,500,1.117837905883789
1534971971.99157,600,1.044204831123352
1534977425.360699,700,0.9297295212745667
1534982894.753165,800,1.0503053665161133
1534988359.380107,900,0.8950135111808777
1534993822.704545,1000,0.8257779479026794
1534999322.987525,1100,0.7723349332809448
1535004856.909413,1200,0.8020974397659302
1535010419.181761,1300,0.8683897256851196
1535016305.652603,1400,0.9087405800819397
1535022087.897489,1500,0.899390459060669
1535027755.190223,1600,0.7951947450637817
1535033501.528011,1700,0.8889321088790894
1535039268.636185,1800,1.157104253768921
1535044990.506147,1900,0.8917511105537415
1535050718.304102,2000,0.7936712503433228
1535056405.781396,2100,0.7578305006027222
1535061924.588293,2200,0.7435874342918396
1535067670.220734,2300,0.739325225353241
1535073290.687544,2400,0.7468598484992981
1535078863.800846,2500,0.7360832095146179
1535084520.885436,2600,0.745562732219696
1535090068.325402,2700,0.7394852042198181
1535095514.251934,2800,0.7448948621749878
1535101208.046565,2900,0.7452616095542908
1535106914.927217,3000,0.7461658120155334
1535112558.342553,3100,0.7268906235694885
1535116987.323028,3200,0.7258090972900391
