Wall time,Step,Value
1534781739.412319,100,2.2040512561798096
1534785624.006153,200,2.7653136253356934
1534792200.071578,300,1.9754949808120728
1534799099.540331,400,1.609194278717041
1534804620.76993,500,1.2766779661178589
1534810112.283755,600,1.183899164199829
1534815600.884421,700,1.0333260297775269
1534821111.911552,800,0.9377342462539673
1534826602.207984,900,0.9649240374565125
1534832055.307642,1000,1.184622049331665
1534837493.072703,1100,0.9231488704681396
1534842873.446299,1200,0.8030257225036621
1534848290.624322,1300,0.7571364045143127
1534853734.962523,1400,0.7356727123260498
1534859192.447215,1500,0.7291969060897827
1534864646.077778,1600,0.722217321395874
1534870101.92148,1700,0.7204362750053406
1534875516.311068,1800,0.7185121178627014
1534880943.902858,1900,0.7188247442245483
1534886393.127334,2000,0.7177111506462097
