Wall time,Step,Value
1534793810.883964,100,0.1726146787405014
1534800432.970087,200,0.12001010030508041
1534806127.371613,300,0.08268728852272034
1534811952.962372,400,0.05581365525722504
1534817765.467089,500,0.0378052182495594
1534823545.54313,600,0.027696216478943825
1534829371.294354,700,0.02150331251323223
1534835212.249208,800,0.017505627125501633
1534840900.519445,900,0.014841797761619091
1534846624.931675,1000,0.013398165814578533
1534852430.204694,1100,0.012542464770376682
1534858241.840016,1200,0.011347947642207146
1534864055.689341,1300,0.010684236884117126
1534869819.08141,1400,0.01003100536763668
1534875478.949946,1500,0.009609658271074295
1534881174.647591,1600,0.00919931847602129
1534886716.021915,1700,0.008957368321716785
1534890554.005586,1800,0.008459596894681454
1534894380.790269,1900,0.008252562023699284
1534896893.234461,2000,0.007872199639678001
