Wall time,Step,Value
1534793031.148908,100,2.251516342163086
1534799582.639943,200,4.0518598556518555
1534805072.27391,300,3.518760919570923
1534810546.301114,400,3.5975544452667236
1534816041.386837,500,2.1864700317382812
1534821543.712621,600,1.8228942155838013
1534827033.987,700,1.969526767730713
1534832525.556092,800,3.3595123291015625
1534838065.429517,900,4.519231796264648
1534843642.440911,1000,5.251237869262695
1534849221.617154,1100,5.757847309112549
1534854788.590362,1200,6.090531349182129
1534860358.992061,1300,6.360942363739014
1534865912.740913,1400,2.8368775844573975
1534871485.452433,1500,1.7429028749465942
1534877045.127056,1600,3.1872541904449463
1534882579.259547,1700,4.739805698394775
1534887536.192233,1800,5.600132465362549
1534891189.757719,1900,6.105042457580566
1534894839.438985,2000,6.457837104797363
