Wall time,Step,Value
1534793031.148908,100,0.1617976576089859
1534799582.639943,200,0.11572890728712082
1534805072.27391,300,0.08165197819471359
1534810546.301114,400,0.05734601244330406
1534816041.386837,500,0.04032028466463089
1534821543.712621,600,0.029630104079842567
1534827033.987,700,0.023447096347808838
1534832525.556092,800,0.019007602706551552
1534838065.429517,900,0.016263054683804512
1534843642.440911,1000,0.014384605921804905
1534849221.617154,1100,0.012736242264509201
1534854788.590362,1200,0.011741606518626213
1534860358.992061,1300,0.010821957141160965
1534865912.740913,1400,0.010275314562022686
1534871485.452433,1500,0.009862185455858707
1534877045.127056,1600,0.009325332939624786
1534882579.259547,1700,0.008894115686416626
1534887536.192233,1800,0.008405357599258423
1534891189.757719,1900,0.008190260268747807
1534894839.438985,2000,0.007949158549308777
