Wall time,Step,Value
1535374191.778004,100,1.9188624620437622
1535379996.228468,200,2.2504146099090576
1535386359.51364,300,1.8929418325424194
1535393622.133467,400,1.6976423263549805
1535399560.309467,500,1.5909626483917236
1535405216.604192,600,1.4276610612869263
1535410947.047355,700,1.3218196630477905
1535416694.562427,800,1.266623616218567
1535422405.153381,900,1.2799186706542969
1535428072.166347,1000,1.3137407302856445
1535433708.422503,1100,1.3753278255462646
1535439296.582586,1200,1.393344521522522
1535444966.767223,1300,1.4202806949615479
1535450909.256246,1400,1.5315428972244263
1535456589.220231,1500,1.490653157234192
1535462377.847048,1600,1.4641474485397339
1535468200.799841,1700,1.4616435766220093
1535473990.620008,1800,1.3318984508514404
1535479852.189654,1900,1.4046210050582886
1535485722.111475,2000,1.4807778596878052
1535491183.307756,2100,1.4067387580871582
1535496653.419185,2200,1.395009160041809
1535502136.928837,2300,1.3995258808135986
1535507665.716972,2400,1.4254157543182373
1535513154.752441,2500,1.402420997619629
1535518655.634688,2600,1.4529106616973877
1535524167.038688,2700,1.4164645671844482
1535529647.019872,2800,1.4689838886260986
1535535134.145325,2900,1.0349979400634766
1535540610.460847,3000,1.0278898477554321
1535546055.241084,3100,1.178139328956604
1535551482.757203,3200,1.3468916416168213
