Wall time,Step,Value
1535374100.12293,100,1.2276376485824585
1535379728.069547,200,1.2980843782424927
1535385764.696357,300,1.2238324880599976
1535393444.290994,400,1.167536735534668
1535399641.921263,500,1.186431646347046
1535405470.95577,600,1.176585078239441
1535411265.457694,700,1.078316569328308
1535417037.049888,800,1.1590602397918701
1535422779.22721,900,1.255782127380371
1535428503.017148,1000,1.3138986825942993
1535434223.462093,1100,1.2630780935287476
1535439820.585926,1200,1.334229588508606
1535445480.791274,1300,1.225287914276123
1535451523.837907,1400,1.3595865964889526
1535457442.90342,1500,1.5373948812484741
1535463360.675012,1600,1.5695585012435913
1535469325.144777,1700,1.5204416513442993
1535475232.843535,1800,1.2949308156967163
1535481095.065647,1900,1.1677486896514893
1535486878.637749,2000,1.5100953578948975
1535492360.642134,2100,1.3633716106414795
1535497832.35157,2200,1.241265058517456
1535503352.588672,2300,1.3319495916366577
1535508881.135661,2400,1.566730260848999
1535514361.908276,2500,1.6797338724136353
1535519868.396991,2600,1.6071326732635498
1535525386.286958,2700,1.9546658992767334
1535530871.703356,2800,1.689430594444275
1535536377.241497,2900,1.9548689126968384
1535541891.469128,3000,1.7768585681915283
1535547434.718815,3100,1.9588961601257324
1535552214.699771,3200,2.030383348464966
