Wall time,Step,Value
1535565199.544545,100,1.914646029472351
1535571161.355616,200,2.3649978637695312
1535576712.495098,300,1.8567935228347778
1535582505.628515,400,1.5477100610733032
1535588365.16069,500,1.425500750541687
1535594244.369978,600,1.348297357559204
1535600099.737602,700,1.242780327796936
1535605957.276763,800,1.2656886577606201
1535611801.829896,900,1.1979210376739502
1535617636.408158,1000,1.1514465808868408
1535623514.031605,1100,1.3199877738952637
1535629394.296199,1200,1.4606549739837646
1535635301.355726,1300,1.3540674448013306
1535641164.593717,1400,1.5306137800216675
1535646991.045598,1500,1.4530318975448608
1535652891.468349,1600,1.4107424020767212
1535658570.775489,1700,1.5393918752670288
1535664306.059685,1800,1.4962910413742065
1535670000.468367,1900,1.3883641958236694
1535675698.065998,2000,1.4525827169418335
1535681272.855681,2100,1.4735949039459229
1535686966.838014,2200,1.6192595958709717
1535692668.450273,2300,1.5633058547973633
1535698312.665765,2400,1.4316784143447876
1535703988.56472,2500,1.5548189878463745
1535709524.863235,2600,1.6502530574798584
1535715124.080801,2700,1.5513464212417603
1535720707.026082,2800,1.4710944890975952
1535726299.174774,2900,1.5047518014907837
1535732098.046031,3000,1.8989169597625732
1535737799.507095,3100,1.740501046180725
1535742137.09419,3200,1.5581393241882324
