Wall time,Step,Value
1535751716.446422,100,2.2472727298736572
1535757579.505343,200,4.505250453948975
1535763364.526059,300,4.421411037445068
1535769172.57463,400,2.7653284072875977
1535775007.628715,500,2.0229833126068115
1535780822.054058,600,1.9714274406433105
1535786652.620677,700,1.925831913948059
1535792354.394567,800,1.5783624649047852
1535797855.827483,900,1.5207639932632446
1535803531.581036,1000,1.5326688289642334
1535809658.323612,1100,1.6443395614624023
1535815458.472867,1200,1.4938125610351562
1535821268.640846,1300,1.5339618921279907
1535827060.204567,1400,1.3618179559707642
1535832838.04997,1500,1.263316035270691
1535838646.564561,1600,1.193298578262329
1535844542.882218,1700,1.264474630355835
1535850350.392277,1800,1.253769874572754
1535856153.193358,1900,1.1173495054244995
1535861953.849602,2000,1.2431409358978271
1535867809.718896,2100,1.2323857545852661
1535873667.851938,2200,1.2922707796096802
1535879476.326155,2300,1.3004292249679565
1535885284.190815,2400,1.4380372762680054
1535891087.176461,2500,1.8666950464248657
1535896890.686676,2600,1.6276429891586304
1535902697.507197,2700,1.5140095949172974
1535908546.927368,2800,1.9020347595214844
1535914411.332922,2900,1.9234877824783325
1535920278.994542,3000,2.022190570831299
1535925771.386909,3100,1.9548630714416504
1535930707.272932,3200,1.7376453876495361
