Wall time,Step,Value
1535374104.5667,100,0.16937394440174103
1535379756.435972,200,0.10164519399404526
1535385883.307146,300,0.06086370721459389
1535393492.163813,400,0.038502827286720276
1535399490.402028,500,0.02699507400393486
1535405238.191536,600,0.021359549835324287
1535410995.849282,700,0.018053099513053894
1535416772.491089,800,0.016558609902858734
1535422561.728736,900,0.016163215041160583
1535428366.935564,1000,0.01596088707447052
1535434187.853576,1100,0.01565617136657238
1535439995.372978,1200,0.015874609351158142
1535445790.216818,1300,0.015558878891170025
1535451947.618167,1400,0.016739916056394577
1535457694.926526,1500,0.015134427696466446
1535463287.460106,1600,0.015007867477834225
1535468869.974148,1700,0.0160659309476614
1535474454.343905,1800,0.017016032710671425
1535480005.828759,1900,0.01711832918226719
1535485551.621949,2000,0.01780695654451847
1535491122.933174,2100,0.017719516530632973
1535496715.532442,2200,0.017912743613123894
1535502273.546309,2300,0.0180804580450058
1535507849.752493,2400,0.018099982291460037
1535513397.550643,2500,0.018025273457169533
1535518890.869908,2600,0.01893836073577404
1535524392.8749,2700,0.01877223514020443
1535529920.504541,2800,0.018533745780587196
1535535444.327069,2900,0.017548110336065292
1535540953.073446,3000,0.017321500927209854
1535546471.094444,3100,0.019220437854528427
1535551831.799096,3200,0.017282957211136818
